,agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
0,5s,15s,20d,6s,14n,10s,14n,10s
1,USGS,02085070,2018-11-17 00:00,EST,546,P,3.66,P
2,USGS,02085070,2018-11-17 00:15,EST,535,P,3.63,P
3,USGS,02085070,2018-11-17 00:30,EST,532,P,3.62,P
4,USGS,02085070,2018-11-17 00:45,EST,532,P,3.62,P
5,USGS,02085070,2018-11-17 01:00,EST,521,P,3.59,P
6,USGS,02085070,2018-11-17 01:15,EST,517,P,3.58,P
7,USGS,02085070,2018-11-17 01:30,EST,509,P,3.56,P
8,USGS,02085070,2018-11-17 01:45,EST,505,P,3.55,P
9,USGS,02085070,2018-11-17 02:00,EST,497,P,3.53,P
10,USGS,02085070,2018-11-17 02:15,EST,493,P,3.52,P
11,USGS,02085070,2018-11-17 02:30,EST,489,P,3.51,P
12,USGS,02085070,2018-11-17 02:45,EST,485,P,3.50,P
13,USGS,02085070,2018-11-17 03:00,EST,489,P,3.51,P
14,USGS,02085070,2018-11-17 03:15,EST,481,P,3.49,P
15,USGS,02085070,2018-11-17 03:30,EST,469,P,3.46,P
16,USGS,02085070,2018-11-17 03:45,EST,473,P,3.47,P
17,USGS,02085070,2018-11-17 04:00,EST,465,P,3.45,P
18,USGS,02085070,2018-11-17 04:15,EST,465,P,3.45,P
19,USGS,02085070,2018-11-17 04:30,EST,461,P,3.44,P
20,USGS,02085070,2018-11-17 04:45,EST,454,P,3.42,P
21,USGS,02085070,2018-11-17 05:00,EST,450,P,3.41,P
22,USGS,02085070,2018-11-17 05:15,EST,454,P,3.42,P
23,USGS,02085070,2018-11-17 05:30,EST,450,P,3.41,P
24,USGS,02085070,2018-11-17 05:45,EST,439,P,3.38,P
25,USGS,02085070,2018-11-17 06:00,EST,439,P,3.38,P
26,USGS,02085070,2018-11-17 06:15,EST,439,P,3.38,P
27,USGS,02085070,2018-11-17 06:30,EST,435,P,3.37,P
28,USGS,02085070,2018-11-17 06:45,EST,428,P,3.35,P
29,USGS,02085070,2018-11-17 07:00,EST,424,P,3.34,P
30,USGS,02085070,2018-11-17 07:15,EST,421,P,3.33,P
31,USGS,02085070,2018-11-17 07:30,EST,421,P,3.33,P
32,USGS,02085070,2018-11-17 07:45,EST,414,P,3.31,P
33,USGS,02085070,2018-11-17 08:00,EST,414,P,3.31,P
34,USGS,02085070,2018-11-17 08:15,EST,410,P,3.30,P
35,USGS,02085070,2018-11-17 08:30,EST,407,P,3.29,P
36,USGS,02085070,2018-11-17 08:45,EST,407,P,3.29,P
37,USGS,02085070,2018-11-17 09:00,EST,403,P,3.28,P
38,USGS,02085070,2018-11-17 09:15,EST,400,P,3.27,P
39,USGS,02085070,2018-11-17 09:30,EST,400,P,3.27,P
40,USGS,02085070,2018-11-17 09:45,EST,393,P,3.25,P
41,USGS,02085070,2018-11-17 10:00,EST,393,P,3.25,P
42,USGS,02085070,2018-11-17 10:15,EST,390,P,3.24,P
43,USGS,02085070,2018-11-17 10:30,EST,383,P,3.22,P
44,USGS,02085070,2018-11-17 10:45,EST,383,P,3.22,P
45,USGS,02085070,2018-11-17 11:00,EST,379,P,3.21,P
46,USGS,02085070,2018-11-17 11:15,EST,379,P,3.21,P
47,USGS,02085070,2018-11-17 11:30,EST,375,P,3.20,P
48,USGS,02085070,2018-11-17 11:45,EST,367,P,3.18,P
49,USGS,02085070,2018-11-17 12:00,EST,367,P,3.18,P
50,USGS,02085070,2018-11-17 12:15,EST,367,P,3.18,P
51,USGS,02085070,2018-11-17 12:30,EST,360,P,3.16,P
52,USGS,02085070,2018-11-17 12:45,EST,356,P,3.15,P
53,USGS,02085070,2018-11-17 13:00,EST,360,P,3.16,P
54,USGS,02085070,2018-11-17 13:15,EST,352,P,3.14,P
55,USGS,02085070,2018-11-17 13:30,EST,348,P,3.13,P
56,USGS,02085070,2018-11-17 13:45,EST,352,P,3.14,P
57,USGS,02085070,2018-11-17 14:00,EST,341,P,3.11,P
58,USGS,02085070,2018-11-17 14:15,EST,345,P,3.12,P
59,USGS,02085070,2018-11-17 14:30,EST,341,P,3.11,P
60,USGS,02085070,2018-11-17 14:45,EST,337,P,3.10,P
61,USGS,02085070,2018-11-17 15:00,EST,337,P,3.10,P
62,USGS,02085070,2018-11-17 15:15,EST,337,P,3.10,P
63,USGS,02085070,2018-11-17 15:30,EST,337,P,3.10,P
